新北市,4年總淨遷移,4年平均人口,4年淨遷移率（‰）
板橋區,1865.0,552828.1458333334,3.37
三重區,4324.0,381978.1041666667,11.32
中和區,2226.0,405889.6666666667,5.48
永和區,-777.0,214498.04166666666,-3.62
新莊區,3713.0,422019.5625,8.8
新店區,9212.0,301786.0625,30.52
樹林區,-3658.0,180816.64583333334,-20.23
鶯歌區,2262.0,88500.08333333333,25.56
三峽區,-595.0,115698.47916666667,-5.14
淡水區,19015.0,189837.8125,100.16
汐止區,7340.0,207374.04166666666,35.39
瑞芳區,-1496.0,37717.875,-39.66
土城區,3880.0,238868.95833333334,16.24
蘆洲區,-3595.0,200390.5,-17.94
五股區,4650.0,91610.5625,50.76
泰山區,-495.0,77438.375,-6.39
林口區,13937.0,128607.6875,108.37
深坑區,294.0,23629.229166666668,12.44
石碇區,-227.0,7296.916666666667,-31.11
坪林區,-86.0,6532.979166666667,-13.16
三芝區,199.0,22222.708333333332,8.95
石門區,-802.0,10943.3125,-73.29
八里區,3259.0,41006.416666666664,79.48
平溪區,-24.0,4236.770833333333,-5.66
雙溪區,-238.0,8070.854166666667,-29.49
貢寮區,-549.0,11240.541666666666,-48.84
金山區,-578.0,20579.0625,-28.09
萬里區,-437.0,21118.208333333332,-20.69
烏來區,-100.0,6320.645833333333,-15.82
總計,854.0,4019058.25,0.21
