台北市,4年總淨遷移,4年平均人口,4年淨遷移率（‰）
松山區,-4739.0,192828.95833333334,-24.58
信義區,-6258.0,206486.27083333334,-30.31
大安區,-6426.0,290500.6875,-22.12
中山區,-3586.0,215531.20833333334,-16.64
中正區,-5072.0,149979.29166666666,-33.82
大同區,-3615.0,120104.41666666667,-30.1
萬華區,-7994.0,174825.54166666666,-45.73
文山區,-5840.0,260322.54166666666,-22.43
南港區,-5754.0,114617.6875,-50.2
內湖區,-6055.0,275630.5416666667,-21.97
士林區,-6024.0,267697.5416666667,-22.5
北投區,-8273.0,243000.52083333334,-34.05
總計,-3037.0,2511525.2083333335,-1.21
